timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Local SST,Local Month Mean
1983-12-05 18:00:00,1984-S-7,SI,1984.0,7.0,-9.6,65.0,30.0,130.0,2.63275,30.0,27.160498,27.847656,28.371332
1984-07-25 06:00:00,1984-N-7,WP,1984.0,7.0,28.0,135.1,25.0,100.0,1.17875,25.0,27.012272,28.599854,27.992283
1983-12-10 12:00:00,1984-S-8,SP,1984.0,8.0,-14.9,149.7,35.0,45.0,0.20975,10.0,27.160498,27.90435,28.41028
1984-08-04 00:00:00,1984-N-8,WP,1984.0,8.0,11.3,132.4,20.0,55.0,0.28425,15.0,26.743427,29.232176,29.043297
1983-12-19 00:00:00,1984-S-9,SI,1984.0,9.0,-7.5,69.2,25.0,90.0,1.53575,20.0,27.160498,28.366978,28.644718
1983-12-19 06:00:00,1984-S-10,SI,1984.0,10.0,-6.1,128.6,30.0,45.0,0.1535,15.0,27.160498,29.079472,29.624607
1984-08-15 12:00:00,1984-N-10,WP,1984.0,10.0,19.2,119.1,30.0,55.0,0.56025,10.0,26.743427,28.24424,29.011251
1984-08-14 12:00:00,1984-N-11,WP,1984.0,11.0,19.3,137.6,25.0,75.0,1.0355,15.0,26.743427,28.866516,29.344786
1984-01-03 12:00:00,1984-S-12,SI,1984.0,12.0,-14.3,107.4,25.0,45.0,0.37525,10.0,27.17849,27.897331,27.897648
1984-01-11 18:00:00,1984-S-13,SP,1984.0,13.0,-15.6,149.2,20.0,65.0,0.7895,15.0,27.17849,28.725927,28.80304
1984-08-26 00:00:00,1984-N-13,WP,1984.0,13.0,8.2,146.0,20.0,125.0,2.44825,30.0,26.743427,28.879488,29.208319
1984-01-19 00:00:00,1984-S-14,SI,1984.0,14.0,-16.3,53.7,35.0,55.0,0.7495,15.0,27.17849,27.72747,28.113525
1984-08-28 00:00:00,1984-N-14,WP,1984.0,14.0,17.7,125.3,45.0,60.0,0.326,10.0,26.743427,28.922937,29.24308
1984-09-13 00:00:00,1984-N-15,WP,1984.0,15.0,22.4,171.5,25.0,75.0,0.60425,20.0,26.939056,28.793283,28.589283
1984-01-22 06:00:00,1984-S-16,SI,1984.0,16.0,-7.9,85.5,25.0,75.0,0.736,15.0,27.17849,27.821892,28.401806
1984-09-24 00:00:00,1984-N-16,WP,1984.0,16.0,18.6,115.7,25.0,40.0,0.1265,10.0,26.939056,27.969606,28.751043
1984-02-01 00:00:00,1984-S-17,SP,1984.0,17.0,-15.1,159.6,25.0,65.0,0.4305,15.0,27.422438,28.487427,28.989515
1984-09-27 12:00:00,1984-N-17,WP,1984.0,17.0,24.6,152.3,25.0,60.0,0.38475,25.0,26.939056,28.754522,28.839014
1984-02-04 18:00:00,1984-S-18,SP,1984.0,18.0,-15.7,154.2,30.0,60.0,0.4305,15.0,27.422438,28.191431,28.815285
1984-09-27 12:00:00,1984-N-18,WP,1984.0,18.0,22.3,141.3,25.0,55.0,0.2845,25.0,26.939056,28.958447,29.018284
1984-02-06 00:00:00,1984-S-19,SI,1984.0,19.0,-12.3,111.7,25.0,55.0,0.34575,20.0,27.422438,28.143377,28.679825
1984-10-07 00:00:00,1984-N-19,WP,1984.0,19.0,18.1,152.3,25.0,70.0,0.3175,20.0,26.94517,29.241863,29.035906
1984-10-09 12:00:00,1984-N-20,WP,1984.0,20.0,18.4,151.3,20.0,80.0,0.51275,25.0,26.94517,29.264786,29.02853
1984-02-08 12:00:00,1984-S-21,SI,1984.0,21.0,-16.1,87.5,40.0,100.0,3.19525,20.0,27.422438,27.599083,27.503563
1984-02-12 06:00:00,1984-S-22,SI,1984.0,22.0,-19.2,41.2,30.0,45.0,0.20075,15.0,27.422438,27.909018,29.144375
1984-10-11 06:00:00,1984-N-22,WP,1984.0,22.0,11.5,116.2,25.0,40.0,0.069,15.0,26.94517,28.079948,28.768837
1984-02-12 12:00:00,1984-S-23,SI,1984.0,23.0,-20.3,41.1,30.0,45.0,0.1715,10.0,27.422438,27.814041,29.079992
1984-02-16 18:00:00,1984-S-24,SI,1984.0,24.0,-15.6,119.8,25.0,85.0,0.9135,20.0,27.422438,29.0428,29.259491
1984-10-18 06:00:00,1984-N-24,WP,1984.0,24.0,8.7,150.1,20.0,120.0,1.67525,35.0,26.94517,28.816729,29.362633
1984-02-20 06:00:00,1984-S-25,SP,1984.0,25.0,-17.3,147.5,20.0,60.0,0.351,20.0,27.422438,28.135374,28.761675
1984-10-22 00:00:00,1984-N-25,WP,1984.0,25.0,7.5,159.2,25.0,155.0,3.69675,35.0,26.94517,29.10465,29.417017
1984-02-27 00:00:00,1984-S-26,SI,1984.0,26.0,-15.6,123.7,35.0,75.0,0.53875,20.0,27.422438,29.242687,29.390898
1984-10-23 00:00:00,1984-N-26,WP,1984.0,26.0,11.1,116.0,25.0,65.0,0.9725,15.0,26.94517,28.02665,28.7765
1984-03-06 06:00:00,1984-S-27,SP,1984.0,27.0,-10.6,149.3,25.0,45.0,0.25125,10.0,27.862774,29.213505,29.132097
1984-10-30 12:00:00,1984-N-27,WP,1984.0,27.0,3.0,146.1,25.0,120.0,2.21925,35.0,26.94517,29.420015,29.635923
1984-03-07 12:00:00,1984-S-28,SI,1984.0,28.0,-10.5,100.3,25.0,75.0,0.949,20.0,27.862774,27.89282,28.77069
1984-11-08 00:00:00,1984-N-28,WP,1984.0,28.0,14.3,153.9,25.0,130.0,3.4885,25.0,27.126225,28.795195,28.763018
1984-03-16 18:00:00,1984-S-29,SP,1984.0,29.0,-16.2,175.8,25.0,40.0,0.2015,10.0,27.862774,28.961752,29.00924
1984-11-14 00:00:00,1984-N-29,WP,1984.0,29.0,5.4,156.4,20.0,110.0,1.8925,30.0,27.126225,29.26347,29.48094
1984-03-19 12:00:00,1984-S-30,SP,1984.0,30.0,-12.1,143.3,30.0,125.0,1.20275,50.0,27.862774,28.634039,28.883486
1984-12-02 06:00:00,1984-N-30,WP,1984.0,30.0,6.3,149.2,20.0,125.0,1.64875,35.0,26.975523,28.648003,29.14383
1984-04-03 00:00:00,1984-S-31,SP,1984.0,31.0,-13.6,155.9,25.0,40.0,0.246,10.0,28.1367,28.467745,28.62708
1984-04-03 18:00:00,1984-S-32,SI,1984.0,32.0,-12.0,76.8,20.0,100.0,2.05075,30.0,28.1367,28.614048,28.430853
1984-11-09 06:00:00,1985-S-1,SI,1985.0,1.0,-7.7,80.9,20.0,45.0,0.37975,15.0,27.126225,28.019009,28.168978
1985-01-06 00:00:00,1985-N-1,WP,1985.0,1.0,4.1,156.1,20.0,40.0,0.09725,15.0,26.953972,28.569496,29.030405
1984-12-02 06:00:00,1985-S-2,SI,1985.0,2.0,-10.7,82.1,25.0,55.0,0.441,15.0,26.975523,27.63529,28.042675
1984-12-08 06:00:00,1985-S-3,SI,1985.0,3.0,-8.3,98.5,20.0,45.0,0.23075,15.0,26.975523,27.849096,28.204746
1985-05-20 00:00:00,1985-N-3,WP,1985.0,3.0,11.5,131.9,30.0,100.0,1.06775,30.0,27.7412,28.510672,29.15918
1984-12-22 12:00:00,1985-S-5,SI,1985.0,5.0,-17.4,122.9,20.0,75.0,0.6525,15.0,26.975523,29.558079,29.402542
1985-06-19 06:00:00,1985-N-5,WP,1985.0,5.0,14.2,133.5,25.0,100.0,1.3235,35.0,27.230225,28.722118,29.58783
1984-12-25 18:00:00,1985-S-6,SP,1985.0,6.0,-12.6,145.1,25.0,70.0,0.35475,25.0,26.975523,28.322985,28.635038
